P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( knicked | Deceptive Negative) = 3.89749585891e-05
P( samsung | Truthful Positive) = 5.26579079013e-05
P( dripped | Deceptive Negative) = 3.89749585891e-05
P( dripped | Deceptive Positive) = 2.87471971483e-05
P( dripped | Truthful Negative) = 3.86301740289e-05
P( dripped | Truthful Positive) = 5.26579079013e-05
P( portion | Deceptive Negative) = 1.94874792946e-05
P( portion | Deceptive Positive) = 2.87471971483e-05
P( portion | Truthful Negative) = 1.93150870145e-05
P( portion | Truthful Positive) = 5.26579079013e-05
P( extras | Deceptive Negative) = 5.84624378837e-05
P( extras | Deceptive Positive) = 2.87471971483e-05
P( extras | Truthful Negative) = 1.93150870145e-05
P( extras | Truthful Positive) = 7.8986861852e-05
P( liver | Deceptive Negative) = 1.94874792946e-05
P( liver | Deceptive Positive) = 2.87471971483e-05
P( liver | Truthful Negative) = 3.86301740289e-05
P( liver | Truthful Positive) = 2.63289539507e-05
P( secondly | Deceptive Negative) = 7.79499171782e-05
P( secondly | Deceptive Positive) = 2.87471971483e-05
P( secondly | Truthful Negative) = 3.86301740289e-05
P( secondly | Truthful Positive) = 2.63289539507e-05
P( forgone | Deceptive Negative) = 1.94874792946e-05
P( forgone | Deceptive Positive) = 2.87471971483e-05
P( forgone | Truthful Negative) = 3.86301740289e-05
P( forgone | Truthful Positive) = 2.63289539507e-05
P( pardon | Deceptive Negative) = 3.89749585891e-05
P( pardon | Deceptive Positive) = 5.74943942966e-05
P( pardon | Truthful Negative) = 1.93150870145e-05
P( pardon | Truthful Positive) = 2.63289539507e-05
P( asian | Deceptive Negative) = 1.94874792946e-05
P( asian | Deceptive Positive) = 5.74943942966e-05
P( asian | Truthful Negative) = 1.93150870145e-05
P( asian | Truthful Positive) = 7.8986861852e-05
P( consists | Deceptive Negative) = 1.94874792946e-05
P( consists | Deceptive Positive) = 2.87471971483e-05
P( consists | Truthful Negative) = 3.86301740289e-05
P( consists | Truthful Positive) = 5.26579079013e-05
P( captain | Deceptive Negative) = 1.94874792946e-05
P( captain | Deceptive Positive) = 2.87471971483e-05
P( captain | Truthful Negative) = 1.93150870145e-05
P( captain | Truthful Positive) = 5.26579079013e-05
P( fronts | Deceptive Negative) = 1.94874792946e-05
P( fronts | Deceptive Positive) = 2.87471971483e-05
P( fronts | Truthful Negative) = 1.93150870145e-05
P( fronts | Truthful Positive) = 5.26579079013e-05
P( nightstands | Deceptive Negative) = 1.94874792946e-05
P( nightstands | Deceptive Positive) = 2.87471971483e-05
P( nightstands | Truthful Negative) = 1.93150870145e-05
P( nightstands | Truthful Positive) = 5.26579079013e-05
P( aug | Deceptive Negative) = 1.94874792946e-05
P( aug | Deceptive Positive) = 2.87471971483e-05
P( aug | Truthful Negative) = 1.93150870145e-05
P( aug | Truthful Positive) = 7.8986861852e-05
P( swam | Deceptive Negative) = 1.94874792946e-05
P( swam | Deceptive Positive) = 8.62415914448e-05
P( swam | Truthful Negative) = 1.93150870145e-05
P( swam | Truthful Positive) = 2.63289539507e-05
P( non-refunable | Deceptive Negative) = 1.94874792946e-05
P( non-refunable | Deceptive Positive) = 2.87471971483e-05
P( non-refunable | Truthful Negative) = 3.86301740289e-05
P( non-refunable | Truthful Positive) = 2.63289539507e-05
P( remodeled | Deceptive Negative) = 3.89749585891e-05
P( remodeled | Deceptive Positive) = 0.000114988788593
P( remodeled | Truthful Negative) = 3.86301740289e-05
P( remodeled | Truthful Positive) = 7.8986861852e-05
P( presents | Deceptive Negative) = 3.89749585891e-05
P( presents | Deceptive Positive) = 2.87471971483e-05
P( presents | Truthful Negative) = 1.93150870145e-05
P( presents | Truthful Positive) = 2.63289539507e-05
P( swap | Deceptive Negative) = 1.94874792946e-05
P( swap | Deceptive Positive) = 2.87471971483e-05
P( swap | Truthful Negative) = 3.86301740289e-05
P( swap | Truthful Positive) = 2.63289539507e-05
P( sorry | Deceptive Negative) = 0.000194874792946
P( sorry | Deceptive Positive) = 2.87471971483e-05
P( sorry | Truthful Negative) = 7.72603480579e-05
P( sorry | Truthful Positive) = 5.26579079013e-05
P( magnetic | Deceptive Negative) = 3.89749585891e-05
P( magnetic | Deceptive Positive) = 2.87471971483e-05
P( magnetic | Truthful Negative) = 1.93150870145e-05
P( magnetic | Truthful Positive) = 2.63289539507e-05
P( updated | Deceptive Negative) = 3.89749585891e-05
P( updated | Deceptive Positive) = 2.87471971483e-05
P( updated | Truthful Negative) = 7.72603480579e-05
P( updated | Truthful Positive) = 0.000157973723704
P( connects | Deceptive Negative) = 1.94874792946e-05
P( connects | Deceptive Positive) = 2.87471971483e-05
P( connects | Truthful Negative) = 3.86301740289e-05
P( connects | Truthful Positive) = 2.63289539507e-05
P( vase | Deceptive Negative) = 3.89749585891e-05
P( vase | Deceptive Positive) = 2.87471971483e-05
P( vase | Truthful Negative) = 1.93150870145e-05
P( vase | Truthful Positive) = 2.63289539507e-05
P( rib-eye | Deceptive Negative) = 1.94874792946e-05
P( rib-eye | Deceptive Positive) = 2.87471971483e-05
P( rib-eye | Truthful Negative) = 1.93150870145e-05
P( rib-eye | Truthful Positive) = 5.26579079013e-05
P( affect | Deceptive Negative) = 1.94874792946e-05
P( affect | Deceptive Positive) = 5.74943942966e-05
P( affect | Truthful Negative) = 1.93150870145e-05
P( affect | Truthful Positive) = 2.63289539507e-05
P( vast | Deceptive Negative) = 1.94874792946e-05
P( vast | Deceptive Positive) = 8.62415914448e-05
P( vast | Truthful Negative) = 1.93150870145e-05
P( vast | Truthful Positive) = 2.63289539507e-05
P( skills | Deceptive Negative) = 1.94874792946e-05
P( skills | Deceptive Positive) = 2.87471971483e-05
P( skills | Truthful Negative) = 1.93150870145e-05
P( skills | Truthful Positive) = 5.26579079013e-05
P( solution | Deceptive Negative) = 3.89749585891e-05
P( solution | Deceptive Positive) = 2.87471971483e-05
P( solution | Truthful Negative) = 1.93150870145e-05
P( solution | Truthful Positive) = 2.63289539507e-05
P( convenience | Deceptive Negative) = 7.79499171782e-05
P( convenience | Deceptive Positive) = 2.87471971483e-05
P( convenience | Truthful Negative) = 1.93150870145e-05
P( convenience | Truthful Positive) = 2.63289539507e-05
P( enhance | Deceptive Negative) = 1.94874792946e-05
P( enhance | Deceptive Positive) = 5.74943942966e-05
P( enhance | Truthful Negative) = 1.93150870145e-05
P( enhance | Truthful Positive) = 2.63289539507e-05
P( heading | Deceptive Negative) = 3.89749585891e-05
P( heading | Deceptive Positive) = 2.87471971483e-05
P( heading | Truthful Negative) = 1.93150870145e-05
P( heading | Truthful Positive) = 7.8986861852e-05
P( clothes | Deceptive Negative) = 5.84624378837e-05
P( clothes | Deceptive Positive) = 2.87471971483e-05
P( clothes | Truthful Negative) = 5.79452610434e-05
P( clothes | Truthful Positive) = 5.26579079013e-05
P( force | Deceptive Negative) = 5.84624378837e-05
P( force | Deceptive Positive) = 2.87471971483e-05
P( force | Truthful Negative) = 1.93150870145e-05
P( force | Truthful Positive) = 2.63289539507e-05
P( likely | Deceptive Negative) = 5.84624378837e-05
P( likely | Deceptive Positive) = 5.74943942966e-05
P( likely | Truthful Negative) = 5.79452610434e-05
P( likely | Truthful Positive) = 2.63289539507e-05
P( goto | Deceptive Negative) = 3.89749585891e-05
P( goto | Deceptive Positive) = 2.87471971483e-05
P( goto | Truthful Negative) = 1.93150870145e-05
P( goto | Truthful Positive) = 2.63289539507e-05
P( even | Deceptive Negative) = 0.0017928480951
P( even | Deceptive Positive) = 0.00152360144886
P( even | Truthful Negative) = 0.00198945396249
P( even | Truthful Positive) = 0.00107948711198
P( preferences | Deceptive Negative) = 1.94874792946e-05
P( preferences | Deceptive Positive) = 5.74943942966e-05
P( preferences | Truthful Negative) = 3.86301740289e-05
P( preferences | Truthful Positive) = 2.63289539507e-05
P( lights | Deceptive Negative) = 5.84624378837e-05
P( lights | Deceptive Positive) = 0.000114988788593
P( lights | Truthful Negative) = 9.65754350723e-05
P( lights | Truthful Positive) = 2.63289539507e-05
P( reheating | Deceptive Negative) = 1.94874792946e-05
P( reheating | Deceptive Positive) = 2.87471971483e-05
P( reheating | Truthful Negative) = 1.93150870145e-05
P( reheating | Truthful Positive) = 5.26579079013e-05
P( h&m | Deceptive Negative) = 1.94874792946e-05
P( h&m | Deceptive Positive) = 2.87471971483e-05
P( h&m | Truthful Negative) = 1.93150870145e-05
P( h&m | Truthful Positive) = 5.26579079013e-05
P( new | Deceptive Negative) = 0.000545649420247
P( new | Deceptive Positive) = 0.000287471971483
P( new | Truthful Negative) = 0.000386301740289
P( new | Truthful Positive) = 0.000447592217161
P( tips | Deceptive Negative) = 5.84624378837e-05
P( tips | Deceptive Positive) = 5.74943942966e-05
P( tips | Truthful Negative) = 3.86301740289e-05
P( tips | Truthful Positive) = 2.63289539507e-05
P( upward | Deceptive Negative) = 1.94874792946e-05
P( upward | Deceptive Positive) = 2.87471971483e-05
P( upward | Truthful Negative) = 3.86301740289e-05
P( upward | Truthful Positive) = 2.63289539507e-05
P( ever | Deceptive Negative) = 0.000818474130371
P( ever | Deceptive Positive) = 0.00132237106882
P( ever | Truthful Negative) = 0.000540822436405
P( ever | Truthful Positive) = 0.000447592217161
P( never | Deceptive Negative) = 0.00124719867485
P( never | Deceptive Positive) = 0.00066118553441
P( never | Truthful Negative) = 0.0017383578313
P( never | Truthful Positive) = 0.000631894894816
P( disposable | Deceptive Negative) = 1.94874792946e-05
P( disposable | Deceptive Positive) = 2.87471971483e-05
P( disposable | Truthful Negative) = 1.93150870145e-05
P( disposable | Truthful Positive) = 5.26579079013e-05
P( met | Deceptive Negative) = 0.000175387313651
P( met | Deceptive Positive) = 0.000229977577186
P( met | Truthful Negative) = 0.000135205609101
P( met | Truthful Positive) = 0.000157973723704
P( scandanavian-type | Deceptive Negative) = 1.94874792946e-05
P( scandanavian-type | Deceptive Positive) = 2.87471971483e-05
P( scandanavian-type | Truthful Negative) = 1.93150870145e-05
P( scandanavian-type | Truthful Positive) = 5.26579079013e-05
P( active | Deceptive Negative) = 1.94874792946e-05
P( active | Deceptive Positive) = 5.74943942966e-05
P( active | Truthful Negative) = 1.93150870145e-05
P( active | Truthful Positive) = 2.63289539507e-05
P( aren't | Deceptive Negative) = 7.79499171782e-05
P( aren't | Deceptive Positive) = 5.74943942966e-05
P( aren't | Truthful Negative) = 3.86301740289e-05
P( aren't | Truthful Positive) = 2.63289539507e-05
P( dry | Deceptive Negative) = 1.94874792946e-05
P( dry | Deceptive Positive) = 2.87471971483e-05
P( dry | Truthful Negative) = 9.65754350723e-05
P( dry | Truthful Positive) = 5.26579079013e-05
P( over-priced | Deceptive Negative) = 1.94874792946e-05
P( over-priced | Deceptive Positive) = 2.87471971483e-05
P( over-priced | Truthful Negative) = 3.86301740289e-05
P( over-priced | Truthful Positive) = 2.63289539507e-05
P( bedding | Deceptive Negative) = 9.74373964728e-05
P( bedding | Deceptive Positive) = 0.000229977577186
P( bedding | Truthful Negative) = 0.000135205609101
P( bedding | Truthful Positive) = 0.000131644769753
P( ignoring | Deceptive Negative) = 3.89749585891e-05
P( ignoring | Deceptive Positive) = 2.87471971483e-05
P( ignoring | Truthful Negative) = 1.93150870145e-05
P( ignoring | Truthful Positive) = 2.63289539507e-05
P( eh | Deceptive Negative) = 1.94874792946e-05
P( eh | Deceptive Positive) = 2.87471971483e-05
P( eh | Truthful Negative) = 3.86301740289e-05
P( eh | Truthful Positive) = 2.63289539507e-05
P( credit | Deceptive Negative) = 0.000175387313651
P( credit | Deceptive Positive) = 5.74943942966e-05
P( credit | Truthful Negative) = 0.000424931914318
P( credit | Truthful Positive) = 5.26579079013e-05
P( frendly | Deceptive Negative) = 1.94874792946e-05
P( frendly | Deceptive Positive) = 2.87471971483e-05
P( frendly | Truthful Negative) = 1.93150870145e-05
P( frendly | Truthful Positive) = 5.26579079013e-05
P( floorboards | Deceptive Negative) = 1.94874792946e-05
P( floorboards | Deceptive Positive) = 2.87471971483e-05
P( floorboards | Truthful Negative) = 3.86301740289e-05
P( floorboards | Truthful Positive) = 2.63289539507e-05
P( permit | Deceptive Negative) = 3.89749585891e-05
P( permit | Deceptive Positive) = 2.87471971483e-05
P( permit | Truthful Negative) = 1.93150870145e-05
P( permit | Truthful Positive) = 2.63289539507e-05
P( suitable | Deceptive Negative) = 5.84624378837e-05
P( suitable | Deceptive Positive) = 2.87471971483e-05
P( suitable | Truthful Negative) = 1.93150870145e-05
P( suitable | Truthful Positive) = 2.63289539507e-05
P( menial | Deceptive Negative) = 3.89749585891e-05
P( menial | Deceptive Positive) = 2.87471971483e-05
P( menial | Truthful Negative) = 1.93150870145e-05
P( menial | Truthful Positive) = 2.63289539507e-05
P( grandkids | Deceptive Negative) = 1.94874792946e-05
P( grandkids | Deceptive Positive) = 2.87471971483e-05
P( grandkids | Truthful Negative) = 3.86301740289e-05
P( grandkids | Truthful Positive) = 2.63289539507e-05
P( fantastic | Deceptive Negative) = 1.94874792946e-05
P( fantastic | Deceptive Positive) = 0.000776174323004
P( fantastic | Truthful Negative) = 9.65754350723e-05
P( fantastic | Truthful Positive) = 0.000658223848766
P( poorest | Deceptive Negative) = 1.94874792946e-05
P( poorest | Deceptive Positive) = 2.87471971483e-05
P( poorest | Truthful Negative) = 3.86301740289e-05
P( poorest | Truthful Positive) = 2.63289539507e-05
P( bookit | Deceptive Negative) = 1.94874792946e-05
P( bookit | Deceptive Positive) = 2.87471971483e-05
P( bookit | Truthful Negative) = 9.65754350723e-05
P( bookit | Truthful Positive) = 2.63289539507e-05
P( slices | Deceptive Negative) = 1.94874792946e-05
P( slices | Deceptive Positive) = 2.87471971483e-05
P( slices | Truthful Negative) = 3.86301740289e-05
P( slices | Truthful Positive) = 2.63289539507e-05
P( specifics | Deceptive Negative) = 1.94874792946e-05
P( specifics | Deceptive Positive) = 2.87471971483e-05
P( specifics | Truthful Negative) = 3.86301740289e-05
P( specifics | Truthful Positive) = 2.63289539507e-05
P( guests | Deceptive Negative) = 0.000389749585891
P( guests | Deceptive Positive) = 0.000517449548669
P( guests | Truthful Negative) = 0.000753288393564
P( guests | Truthful Positive) = 0.000263289539507
P( jackets | Deceptive Negative) = 1.94874792946e-05
P( jackets | Deceptive Positive) = 5.74943942966e-05
P( jackets | Truthful Negative) = 1.93150870145e-05
P( jackets | Truthful Positive) = 2.63289539507e-05
P( army | Deceptive Negative) = 3.89749585891e-05
P( army | Deceptive Positive) = 2.87471971483e-05
P( army | Truthful Negative) = 1.93150870145e-05
P( army | Truthful Positive) = 2.63289539507e-05
P( ratty | Deceptive Negative) = 1.94874792946e-05
P( ratty | Deceptive Positive) = 2.87471971483e-05
P( ratty | Truthful Negative) = 3.86301740289e-05
P( ratty | Truthful Positive) = 2.63289539507e-05
P( watering | Deceptive Negative) = 1.94874792946e-05
P( watering | Deceptive Positive) = 5.74943942966e-05
P( watering | Truthful Negative) = 1.93150870145e-05
P( watering | Truthful Positive) = 2.63289539507e-05
P( arms | Deceptive Negative) = 1.94874792946e-05
P( arms | Deceptive Positive) = 2.87471971483e-05
P( arms | Truthful Negative) = 3.86301740289e-05
P( arms | Truthful Positive) = 2.63289539507e-05
P( leaks | Deceptive Negative) = 1.94874792946e-05
P( leaks | Deceptive Positive) = 2.87471971483e-05
P( leaks | Truthful Negative) = 3.86301740289e-05
P( leaks | Truthful Positive) = 2.63289539507e-05
P( call | Deceptive Negative) = 0.000506674461658
P( call | Deceptive Positive) = 0.000201230380038
P( call | Truthful Negative) = 0.000985069437738
P( call | Truthful Positive) = 0.000236960585556
P( panhandling | Deceptive Negative) = 1.94874792946e-05
P( panhandling | Deceptive Positive) = 2.87471971483e-05
P( panhandling | Truthful Negative) = 3.86301740289e-05
P( panhandling | Truthful Positive) = 2.63289539507e-05
P( recommend | Deceptive Negative) = 0.000798986651077
P( recommend | Deceptive Positive) = 0.00195480940608
P( recommend | Truthful Negative) = 0.000424931914318
P( recommend | Truthful Positive) = 0.00139543455938
P( leaky | Deceptive Negative) = 3.89749585891e-05
P( leaky | Deceptive Positive) = 2.87471971483e-05
P( leaky | Truthful Negative) = 1.93150870145e-05
P( leaky | Truthful Positive) = 2.63289539507e-05
P( type | Deceptive Negative) = 0.00021436227224
P( type | Deceptive Positive) = 8.62415914448e-05
P( type | Truthful Negative) = 9.65754350723e-05
P( type | Truthful Positive) = 0.000105315815803
P( tell | Deceptive Negative) = 0.00021436227224
P( tell | Deceptive Positive) = 0.00017248318289
P( tell | Truthful Negative) = 0.000386301740289
P( tell | Truthful Positive) = 7.8986861852e-05
P( posting | Deceptive Negative) = 3.89749585891e-05
P( posting | Deceptive Positive) = 2.87471971483e-05
P( posting | Truthful Negative) = 3.86301740289e-05
P( posting | Truthful Positive) = 2.63289539507e-05
